Date,home.team,away.team,home_scores,away_scores
25-Aug-19,Port Adelaide,Fremantle,110,67
25-Aug-19,Richmond,Brisbane,82,55
25-Aug-19,Western Bulldogs,Adelaide,121,87
24-Aug-19,West Coast,Hawthorn,67,105
24-Aug-19,Gold Coast,GWS Giants,55,127
24-Aug-19,Geelong,Carlton,129,61
24-Aug-19,North Melbourne,Melbourne,88,83
24-Aug-19,Sydney,St Kilda,109,64
23-Aug-19,Collingwood,Essendon,76,65
18-Aug-19,Hawthorn,Gold Coast,118,48
18-Aug-19,GWS Giants,Western Bulldogs,65,126
18-Aug-19,Richmond,West Coast,88,82
17-Aug-19,Fremantle,Essendon,55,87
17-Aug-19,North Melbourne,Port Adelaide,144,58
17-Aug-19,Adelaide,Collingwood,48,114
17-Aug-19,Brisbane,Geelong,75,74
17-Aug-19,Carlton,St Kilda,78,68
16-Aug-19,Melbourne,Sydney,42,95
11-Aug-19,West Coast,Adelaide,90,80
11-Aug-19,Richmond,Carlton,73,45
11-Aug-19,St Kilda,Fremantle,72,69
10-Aug-19,Essendon,Western Bulldogs,33,137
10-Aug-19,Geelong,North Melbourne,69,14
10-Aug-19,Brisbane,Gold Coast,144,53
10-Aug-19,Port Adelaide,Sydney,103,56
10-Aug-19,Melbourne,Collingwood,53,70
09-Aug-19,GWS Giants,Hawthorn,29,85
04-Aug-19,Brisbane,Western Bulldogs,98,80
04-Aug-19,Carlton,West Coast,75,99
04-Aug-19,Collingwood,Gold Coast,120,51
03-Aug-19,Adelaide,St Kilda,92,70
03-Aug-19,Melbourne,Richmond,60,93
03-Aug-19,Fremantle,Geelong,95,61
03-Aug-19,GWS Giants,Sydney,83,81
03-Aug-19,Essendon,Port Adelaide,67,126
02-Aug-19,North Melbourne,Hawthorn,86,64
28-Jul-19,Gold Coast,Essendon,96,106
28-Jul-19,Sydney,Geelong,80,107
28-Jul-19,Western Bulldogs,Fremantle,113,66
27-Jul-19,Port Adelaide,GWS Giants,55,56
27-Jul-19,St Kilda,Melbourne,104,85
27-Jul-19,West Coast,North Melbourne,121,72
27-Jul-19,Carlton,Adelaide,87,60
27-Jul-19,Hawthorn,Brisbane,60,87
26-Jul-19,Collingwood,Richmond,66,98
21-Jul-19,St Kilda,Western Bulldogs,116,89
21-Jul-19,Melbourne,West Coast,78,91
21-Jul-19,Geelong,Hawthorn,61,85
20-Jul-19,Fremantle,Sydney,52,51
20-Jul-19,Brisbane,North Melbourne,87,75
20-Jul-19,GWS Giants,Collingwood,122,75
20-Jul-19,Carlton,Gold Coast,99,75
20-Jul-19,Richmond,Port Adelaide,101,63
19-Jul-19,Adelaide,Essendon,75,96
