Team,2019,2018,2017,2016,2015,2014,2013,2012
Adelaide,24.80,24.60,24.00,24.00,23.90,23.80,23.60,23.10
Brisbane,23.50,23.40,22.80,22.60,22.90,23.40,23.30,23.10
Carlton,23.50,23.80,23.90,24.00,24.10,24.40,24.10,23.30
Collingwood,24.80,24.40,23.90,24.00,23.50,24.00,24.20,23.20
Essendon,24.20,24.10,24.40,25.00,24.60,23.90,23.70,23.60
Fremantle,23.80,23.90,24.40,25.00,24.90,24.50,23.60,23.50
Geelong,24.30,24.40,23.90,24.20,24.20,23.70,24.20,23.90
Gold Coast,23.10,23.10,23.80,23.50,23.10,22.90,22.60,22.10
GWS Giants,24.20,24.20,24.50,23.40,22.50,22.00,21.40,21.30
Hawthorn,24.90,24.60,24.50,24.20,24.30,24.10,24.30,24.00
Melbourne,23.90,24.00,23.90,23.50,23.70,23.60,23.40,23.00
North Melbourne,24.20,23.40,23.70,25.20,25.10,24.30,23.50,23.40
Port Adelaide,24.00,24.20,23.90,24.00,23.70,23.30,23.30,23.20
Richmond,24.00,23.80,24.00,23.80,23.90,24.30,23.60,22.80
St Kilda,24.00,23.60,23.90,23.60,23.60,24.00,24.20,24.00
Sydney,23.90,24.00,23.70,23.70,24.10,24.30,24.20,24.10
West Coast,24.30,23.90,24.80,24.20,23.60,23.70,24.30,23.40
Western Bulldogs,23.90,23.80,23.80,23.60,23.30,23.90,23.50,23.60
