Date,Start (ET),away.team,away_scores,home.team,home_scores,,,,
"Tue, Oct 25, 2016",7:30p,New York Knicks,88,Cleveland Cavaliers,117,,,,
"Tue, Oct 25, 2016",10:00p,Utah Jazz,104,Portland Trail Blazers,113,,,,
"Tue, Oct 25, 2016",10:30p,San Antonio Spurs,129,Golden State Warriors,100,,,,
"Wed, Oct 26, 2016",7:00p,Dallas Mavericks,121,Indiana Pacers,130,,,,
"Wed, Oct 26, 2016",7:00p,Miami Heat,108,Orlando Magic,96,,,,
"Wed, Oct 26, 2016",7:30p,Brooklyn Nets,117,Boston Celtics,122,,,,
"Wed, Oct 26, 2016",7:30p,Detroit Pistons,91,Toronto Raptors,109,,,,
"Wed, Oct 26, 2016",8:00p,Denver Nuggets,107,New Orleans Pelicans,102,,,,
"Wed, Oct 26, 2016",8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,,,,
"Wed, Oct 26, 2016",8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,,,,
"Wed, Oct 26, 2016",8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,,,,
"Wed, Oct 26, 2016",10:00p,Sacramento Kings,113,Phoenix Suns,94,,,,
"Wed, Oct 26, 2016",10:30p,Houston Rockets,114,Los Angeles Lakers,120,,,,
"Thu, Oct 27, 2016",7:30p,Washington Wizards,99,Atlanta Hawks,114,,,,
"Thu, Oct 27, 2016",8:00p,Boston Celtics,99,Chicago Bulls,105,,,,
"Thu, Oct 27, 2016",10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,,,,
"Thu, Oct 27, 2016",10:30p,San Antonio Spurs,102,Sacramento Kings,94,,,,
"Fri, Oct 28, 2016",7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,,,,
"Fri, Oct 28, 2016",7:30p,Indiana Pacers,94,Brooklyn Nets,103,,,,
"Fri, Oct 28, 2016",7:30p,Orlando Magic,82,Detroit Pistons,108,,,,
"Fri, Oct 28, 2016",8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,,,,
"Fri, Oct 28, 2016",8:00p,Charlotte Hornets,97,Miami Heat,91,,,,
"Fri, Oct 28, 2016",8:30p,Houston Rockets,106,Dallas Mavericks,98,,,,
"Fri, Oct 28, 2016",9:00p,Los Angeles Lakers,89,Utah Jazz,96,,,,
"Fri, Oct 28, 2016",9:30p,Golden State Warriors,122,New Orleans Pelicans,114,,,,
"Sat, Oct 29, 2016",12:30p,Atlanta Hawks,104,Philadelphia 76ers,72,,,,
"Sat, Oct 29, 2016",7:00p,Boston Celtics,104,Charlotte Hornets,98,,,,
"Sat, Oct 29, 2016",7:30p,Orlando Magic,99,Cleveland Cavaliers,105,,,,
"Sat, Oct 29, 2016",7:30p,Memphis Grizzlies,104,New York Knicks,111,,,,
"Sat, Oct 29, 2016",8:00p,New Orleans Pelicans,79,San Antonio Spurs,98,,,,
"Sat, Oct 29, 2016",8:00p,Brooklyn Nets,108,Milwaukee Bucks,110,,,,
"Sat, Oct 29, 2016",8:00p,Indiana Pacers,101,Chicago Bulls,118,,,,
"Sat, Oct 29, 2016",9:00p,Portland Trail Blazers,115,Denver Nuggets,113,,,,
"Sat, Oct 29, 2016",10:30p,Minnesota Timberwolves,103,Sacramento Kings,106,,,,
"Sun, Oct 30, 2016",4:30p,Utah Jazz,75,Los Angeles Clippers,88,,,,
"Sun, Oct 30, 2016",6:00p,Milwaukee Bucks,83,Detroit Pistons,98,,,,
"Sun, Oct 30, 2016",6:00p,Golden State Warriors,106,Phoenix Suns,100,,,,
"Sun, Oct 30, 2016",6:00p,San Antonio Spurs,106,Miami Heat,99,,,,
"Sun, Oct 30, 2016",7:00p,Los Angeles Lakers,96,Oklahoma City Thunder,113,,,,
"Sun, Oct 30, 2016",8:00p,Washington Wizards,103,Memphis Grizzlies,112,,,,
"Sun, Oct 30, 2016",8:00p,Dallas Mavericks,92,Houston Rockets,93,,,,
"Mon, Oct 31, 2016",7:30p,Sacramento Kings,95,Atlanta Hawks,106,,,,
"Mon, Oct 31, 2016",7:30p,Chicago Bulls,118,Brooklyn Nets,88,,,,
"Mon, Oct 31, 2016",7:30p,Denver Nuggets,102,Toronto Raptors,105,,,,
"Mon, Oct 31, 2016",10:30p,Phoenix Suns,98,Los Angeles Clippers,116,,,,
"Tue, Nov 1, 2016",6:00p,Houston Rockets,120,Cleveland Cavaliers,128,,,,
"Tue, Nov 1, 2016",7:00p,Los Angeles Lakers,108,Indiana Pacers,115,,,,
"Tue, Nov 1, 2016",7:00p,Orlando Magic,103,Philadelphia 76ers,101,,,,
"Tue, Nov 1, 2016",7:30p,New York Knicks,89,Detroit Pistons,102,,,,
"Tue, Nov 1, 2016",7:30p,Sacramento Kings,96,Miami Heat,108,,,,
"Tue, Nov 1, 2016",8:00p,Memphis Grizzlies,80,Minnesota Timberwolves,116,,,,
"Tue, Nov 1, 2016",8:00p,Milwaukee Bucks,117,New Orleans Pelicans,113,,,,
"Tue, Nov 1, 2016",8:30p,Utah Jazz,106,San Antonio Spurs,91,,,,
"Tue, Nov 1, 2016",10:00p,Golden State Warriors,127,Portland Trail Blazers,104,,,,
"Wed, Nov 2, 2016",7:00p,Philadelphia 76ers,93,Charlotte Hornets,109,,,,
"Wed, Nov 2, 2016",7:00p,Toronto Raptors,113,Washington Wizards,103,,,,
"Wed, Nov 2, 2016",7:30p,Los Angeles Lakers,123,Atlanta Hawks,116,,,,
"Wed, Nov 2, 2016",7:30p,Detroit Pistons,101,Brooklyn Nets,109,,,,
"Wed, Nov 2, 2016",7:30p,Houston Rockets,118,New York Knicks,99,,,,
"Wed, Nov 2, 2016",8:00p,Chicago Bulls,100,Boston Celtics,107,,,,
"Wed, Nov 2, 2016",8:00p,New Orleans Pelicans,83,Memphis Grizzlies,89,,,,
"Wed, Nov 2, 2016",9:00p,Dallas Mavericks,81,Utah Jazz,97,,,,
"Wed, Nov 2, 2016",10:00p,Portland Trail Blazers,115,Phoenix Suns,118,,,,
"Wed, Nov 2, 2016",10:30p,Oklahoma City Thunder,85,Los Angeles Clippers,83,,,,
"Thu, Nov 3, 2016",7:00p,Sacramento Kings,94,Orlando Magic,102,,,,
"Thu, Nov 3, 2016",8:00p,Boston Celtics,122,Cleveland Cavaliers,128,,,,
"Thu, Nov 3, 2016",8:00p,Indiana Pacers,107,Milwaukee Bucks,125,,,,
"Thu, Nov 3, 2016",8:00p,Denver Nuggets,102,Minnesota Timberwolves,99,,,,
"Thu, Nov 3, 2016",10:30p,Oklahoma City Thunder,96,Golden State Warriors,122,,,,
"Fri, Nov 4, 2016",7:00p,Atlanta Hawks,92,Washington Wizards,95,,,,
"Fri, Nov 4, 2016",7:30p,Charlotte Hornets,99,Brooklyn Nets,95,,,,
"Fri, Nov 4, 2016",7:30p,Miami Heat,87,Toronto Raptors,96,,,,
"Fri, Nov 4, 2016",8:00p,New York Knicks,117,Chicago Bulls,104,,,,
"Fri, Nov 4, 2016",8:00p,Los Angeles Clippers,99,Memphis Grizzlies,88,,,,
"Fri, Nov 4, 2016",8:00p,Phoenix Suns,112,New Orleans Pelicans,111,,,,
"Fri, Nov 4, 2016",8:30p,Portland Trail Blazers,105,Dallas Mavericks,95,,,,
"Fri, Nov 4, 2016",9:00p,San Antonio Spurs,100,Utah Jazz,86,,,,
"Fri, Nov 4, 2016",10:30p,Golden State Warriors,97,Los Angeles Lakers,117,,,,
"Sat, Nov 5, 2016",6:00p,Minnesota Timberwolves,92,Oklahoma City Thunder,112,,,,
"Sat, Nov 5, 2016",7:00p,Denver Nuggets,86,Detroit Pistons,103,,,,
"Sat, Nov 5, 2016",7:00p,Chicago Bulls,94,Indiana Pacers,111,,,,
"Sat, Nov 5, 2016",7:00p,Washington Wizards,86,Orlando Magic,88,,,,
"Sat, Nov 5, 2016",7:00p,Cleveland Cavaliers,102,Philadelphia 76ers,101,,,,
"Sat, Nov 5, 2016",7:30p,Houston Rockets,97,Atlanta Hawks,112,,,,
