Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/07/2020 23:08,Nationals Park,Washington Nationals,New York Yankees,1 - 4
2,1,24/07/2020 02:08,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,8 - 1
3,1,24/07/2020 20:10,Citi Field,New York Mets,Atlanta Braves,1 - 0
4,1,24/07/2020 22:10,Great American Ball Park,Cincinnati Reds,Detroit Tigers,7 - 1
5,1,24/07/2020 22:40,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,4 - 6
6,1,24/07/2020 23:05,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,2 - 5
7,1,24/07/2020 23:10,Progressive Field,Cleveland Indians,Kansas City Royals,2 - 0
8,1,24/07/2020 23:10,Wrigley Field,Chicago Cubs,Milwaukee Brewers,3 - 0
9,1,24/07/2020 23:30,Fenway Park,Boston Red Sox,Baltimore Orioles,13 - 2
10,1,25/07/2020 00:05,Globe Life Field,Texas Rangers,Colorado Rockies,1 - 0
11,1,25/07/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Minnesota Twins,5 - 10
12,1,25/07/2020 00:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,5 - 4
13,1,25/07/2020 01:10,Petco Park,San Diego Padres,Arizona Diamondbacks,7 - 2
14,1,25/07/2020 01:10,Minute Maid Park,Houston Astros,Seattle Mariners,8 - 2
15,1,25/07/2020 01:40,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,9 - 1
16,1,25/07/2020 02:10,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,7 - 3
17,1,25/07/2020 17:05,Wrigley Field,Chicago Cubs,Milwaukee Brewers,3 - 8
18,1,25/07/2020 17:35,Fenway Park,Boston Red Sox,Baltimore Orioles,2 - 7
19,1,25/07/2020 18:10,Guaranteed Rate Field,Chicago White Sox,Minnesota Twins,10 - 3
20,1,25/07/2020 18:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,9 - 1
21,1,25/07/2020 19:10,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,4 - 1
22,1,25/07/2020 20:05,Globe Life Field,Texas Rangers,Colorado Rockies,2 - 3
23,1,25/07/2020 20:05,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,7 - 1
24,1,25/07/2020 20:10,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,1 - 4
25,1,25/07/2020 20:10,Minute Maid Park,Houston Astros,Seattle Mariners,7 - 2
